airline_code,ticket_price,airline_name,from_city,to_city,from_date,to_date,crawl_date
WY,768.68,Oman Air,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
UL,776.24,Sri Lankan Airlines,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
BA,828.05,British Airways,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
QR,864.26,Qatar Airways,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
EK,870.24,Emirates,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
LH,945.73,Lufthansa,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
EY,1017.23,Etihad,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
TG,1140.82,Thai Airways,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
TK,1197.58,Turkish Airlines,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
SQ,1210.58,Singapore Airlines,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
QF,8572.24,Qantas Airways,MUC,MAA,2020-01-05,2020-01-25,2020-01-04
EK,679.18,Emirates,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
EY,680.17,Etihad,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
UL,692.18,Sri Lankan Airlines,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
WY,693.62,Oman Air,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
BA,786.99,British Airways,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
LH,825.67,Lufthansa,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
QR,844.2,Qatar Airways,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
TG,991.76,Thai Airways,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
SQ,1110.52,Singapore Airlines,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
TK,1414.52,Turkish Airlines,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
QF,8572.18,Qantas Airways,MUC,MAA,2020-01-11,2020-01-31,2020-01-04
UL,600.24,Sri Lankan Airlines,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
EK,659.24,Emirates,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
WY,678.68,Oman Air,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
LH,731.59,Lufthansa,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
BA,765.05,British Airways,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
QR,844.26,Qatar Airways,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
TG,991.82,Thai Airways,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
SQ,1040.58,Singapore Airlines,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
TK,1045.58,Turkish Airlines,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
QF,8572.24,Qantas Airways,MUC,MAA,2020-01-19,2020-02-08,2020-01-04
WY,653.62,Oman Air,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
EK,659.18,Emirates,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
EY,660.17,Etihad,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
UL,692.18,Sri Lankan Airlines,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
LH,709.21,Lufthansa,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
QR,844.2,Qatar Airways,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
BA,898.99,British Airways,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
TK,936.52,Turkish Airlines,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
SQ,970.52,Singapore Airlines,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
TG,991.76,Thai Airways,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
QF,8572.18,Qantas Airways,MUC,MAA,2020-02-03,2020-02-23,2020-01-04
UL,600.18,Sri Lankan Airlines,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
EK,639.18,Emirates,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
WY,653.62,Oman Air,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
TK,701.52,Turkish Airlines,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
LH,709.21,Lufthansa,MUC,MAA,2020-03-04,2020-03-24,2020-01-04
